iterations,error_feas_max,error_feas_mean,error_opt_max,error_opt_mean,error_total_mean
0,0.0004594436442099288,0.000339478091303355,9.381049047398276e-06,5.76276777835158e-06,0.00017262042954085328
1,0.0005563150060785087,0.00016014286920751122,0.0006428621476092385,0.00013976402069854115,0.00014995344495302617
2,0.0006104795508983011,0.00020325071867214814,0.0006448054391597029,0.00028624014985822647,0.0002447454342651873
3,0.00044047234794113545,0.00011409418413620438,0.0006168196974753672,0.00019268243716160822,0.0001533883106489063
4,0.0003478752066140211,0.00013782500444727415,0.0008051971596081437,0.00039504384392989285,0.00026643442418858353
5,0.000560513398111722,0.00015442865492897793,0.0005224691396480995,0.0002729128179029505,0.0002136707364159642
6,0.0008267497496385101,0.00040307994018423345,0.001445344263333124,0.0003376960594712479,0.0003703879998277407
7,0.0012316561203237122,0.0004977009414114618,0.00045035805731833187,0.00018079227788801266,0.00033924660964973724
8,0.0016062204630108176,0.0011398273462442962,0.0025039275101027573,0.0006784439585221114,0.0009091356523832038
9,0.0019823583929863197,0.0010326938690662772,0.0031264253846863257,0.001344433446501368,0.0011885636577838225
10,0.002377937239558593,0.0007973393766302645,0.003826950390199639,0.001155692080446826,0.0009765157285385452
11,0.001732914427399752,0.0008722922053782868,0.002717433831294674,0.0006583944573423167,0.0007653433313603018
12,0.0034956745166984625,0.0016477083593659711,0.005799862663816836,0.0018001042616152593,0.0017239063104906153
13,0.004078978451039567,0.001646777311612182,0.007711549002472528,0.0025597710269564685,0.0021032741692843253
14,0.004762037905416853,0.0009579836733178193,0.010119971836665005,0.002069872315672989,0.0015139279944954042
15,0.0050548384540458685,0.0015012015511648867,0.012798942190670654,0.0030284889349838653,0.002264845243074376
16,0.0049738812245034725,0.0019940746531426053,0.015727970627416682,0.005018141485833658,0.003506108069488132
17,0.004869012085319623,0.00223394353492687,0.018771093808048825,0.002206903745440585,0.0022204236401837277
18,0.004495040158462655,0.0018075415304318718,0.021960982436405183,0.005342984110559777,0.003575262820495824
19,0.0038711166814384113,0.0026470701902154515,0.02522181706988172,0.0031056567014638185,0.002876363445839635
20,0.0034420457371962523,0.0009613479436964476,0.028625590403554897,0.012491218535354617,0.006726283239525532
21,0.0003916535605185884,0.00016688648640446547,0.0007212016594391831,0.00021893721946818407,0.00019291185293632477
22,0.0004754520697730967,0.00014821228848318173,0.0007121667570155758,0.0001561936922615757,0.00015220299037237871
23,0.00045973595709099724,0.00016840563477832148,0.0007023751056681447,0.00019840875618374639,0.00018340719548103394
24,0.0003048679756583457,0.00014757150935267943,0.0006629520766730641,0.00020949571204444763,0.00017853361069856353
25,0.0003425168818661063,0.00016084858106205714,0.0006225245459104253,0.00025488216716862703,0.0002078653741153421
26,0.000556970768889522,0.00040465175652373364,0.0008663308894427859,0.0003320467839653174,0.00036834927024452556
27,0.0008242191377821824,0.00048445194607727056,0.001173412866798874,0.00025012992918536166,0.0003672909376313161
28,0.0011802364133507758,0.00023701990518209138,0.0004898485972200462,0.00021484368569867776,0.00022593179544038458
29,0.00158099028381147,0.0002907275896193762,0.0010806924100310222,0.0003521440123925123,0.0003214358010059442
30,0.0019796150771478212,0.0006834713313100865,0.002638528046029178,0.000726687449445682,0.0007050793903778843
31,0.00240481379591076,0.0011218363940257439,0.0024191308233646224,0.0003712781536353025,0.0007465572738305232
32,0.002936238803423749,0.001053086737413038,0.004135492500022712,0.0010298020775974524,0.0010414444075052451
33,0.003544909467749112,0.0007291077366860007,0.003734012392003469,0.0005648084406059572,0.000646958088645979
34,0.004188793147793696,0.0022913564530042717,0.003912197626818962,0.0010031526681201605,0.0016472545605622161
35,0.002231330999430531,0.0006707924048933394,0.0037445782846888967,0.0009675192884529525,0.0008191558466731459
36,0.005406211094879176,0.002106143772144958,0.0034926820836452747,0.0009250842517286838,0.001515614011936821
37,0.005416104094831676,0.001323984005320634,0.014838156392331672,0.0023203366693539023,0.0018221603373372681
38,0.005410801361967602,0.0013834943543835861,0.01780448947483196,0.0026994887903242547,0.0020414915723539206
39,0.005094187495785044,0.003957205220644563,0.020927986800260028,0.0035903744918207485,0.0037737898562326556
40,0.004437457471489385,0.0021002348790625336,0.004255423163144997,0.0005868769066399513,0.0013435558928512423
41,0.0036040046834213838,0.0013924693655278171,0.004966397513054733,0.0011095366326296326,0.0012510029990787249
42,0.0003617728970699356,0.00019274599310351213,0.0007765346254491113,0.00023656277731781797,0.00021465438521066506
43,0.0003848108670869392,0.0001353917863572909,0.0007674724385533826,0.0001713803804178491,0.00015338608338757
