iterations,error_feas_max,error_feas_mean,error_opt_max,error_opt_mean,error_total_mean
0,0.0011187063910757036,0.0003643966175213355,0.013092089604136317,0.004233346084753752,0.0022988713511375436
1,0.0011280564294560676,0.0003394240993328155,0.018860852649433452,0.006985474802776391,0.0036624494510546033
2,0.0011369473155501235,0.000267958160977577,0.012132684007780723,0.005504627438518434,0.0028862927997480056
3,0.0011438568269850741,0.00043307488356717644,0.018373695609408963,0.007273012153144269,0.0038530435183557225
4,0.0011791259352796973,0.0004517267693113284,0.012997474525097771,0.006171888756258891,0.0033118077627851098
5,0.0012189595791672625,0.0005299616292347466,0.014668727088318761,0.00562296565492184,0.003076463642078293
6,0.001240999573018433,0.0004265973101195535,0.00438639680114364,0.0018520930888010205,0.001139345199460287
7,0.0012360562983059287,0.00018984195409771446,0.008574535788806705,0.0040481707234430045,0.0021190063387703595
8,0.0012849845120602764,0.000659998805311151,0.01546323815168182,0.0037261357249415623,0.0021930672651263566
9,0.001329027070984684,0.0005040031041064705,0.008889436218940153,0.003247054646633831,0.001875528875370151
10,0.0013469443267774498,0.0006240533162737249,0.005678917095919492,0.0023557280195040204,0.0014898906678888727
11,0.0013742962370203531,0.0006143704485821288,0.008681130706017346,0.0036488195595885163,0.0021315950040853224
12,0.001400179455465732,0.0006137361096101969,0.012898763622058433,0.0026831607300387534,0.0016484484198244752
13,0.0014009221615301217,0.0003757180146153554,0.0054275316990340695,0.001041352851639477,0.0007085354331274162
14,0.0013470535588387524,0.00047501799402274405,0.006416795129740815,0.0018545776300242158,0.00116479781202348
15,0.0012786608587314903,0.00045107203550139794,0.005992214803094854,0.001924433065232048,0.001187752550366723
16,0.001286926420496651,0.0007056993397012891,0.005395794796380354,0.0011276872268691346,0.0009166932832852118
17,0.0012766081003558012,0.0006208357271257708,0.008011054300989098,0.002233239037462384,0.0014270373822940774
18,0.0011414198390682986,0.0005080187133927097,0.006658522446333474,0.002483165238357488,0.001495591975875099
19,0.0012411072567923877,0.0003998831033978134,0.006157813008277053,0.001967073633775202,0.0011834783685865078
20,0.0012569272044457343,0.0005406923856273692,0.011027049503197443,0.003849078394682198,0.0021948853901547836
21,0.0012592320385826996,0.0004498259209934842,0.004007229394855434,0.001745454246756939,0.0010976400838752115
22,0.0012666164479958602,0.0006437835046041865,0.009968326945975515,0.003111595809220771,0.001877689656912479
23,0.0012708369326218287,0.000547211880467535,0.007870309790999524,0.0027336341933643683,0.0016404230369159516
24,0.00085364778793092,0.00036047308241805333,0.0038940777049269616,0.0017749615378175657,0.0010677173101178096
25,0.001272066278453003,0.0006765098148554268,0.008573506495553291,0.003229631774999035,0.001953070794927231
26,0.001254726873723014,0.0006533633234603407,0.006366277796978032,0.001533598648546243,0.0010934809860032918
27,0.0012267941057443135,0.0002645746566522029,0.008500939668975478,0.001952903772367814,0.0011087392145100084
28,0.0012053260623800383,0.0007189551280435589,0.009537870077215583,0.004319599965588418,0.002519277546815988
29,0.0012180099204524954,0.0006416413358696276,0.009114243343986576,0.0015854328831465894,0.0011135371095081085
30,0.0012204551484574794,0.00044845911561837816,0.009761403193150957,0.004124354110395878,0.002286406613007128
31,0.0008715946669462339,0.00023056550689213676,0.021152348550207766,0.010200812250450683,0.0052156888786714095
32,0.0011169360561167348,0.00021259554185311383,0.010709015556511714,0.005375196684316283,0.0027938961130846984
33,0.001124706122339966,0.0005007720002848992,0.008921406580837185,0.003642705555516123,0.002071738777900511
34,0.0005235809780509525,5.2402009015143975e-05,0.009659379464166088,0.0042771182749148035,0.0021647601419649736
35,0.0011359394627010193,0.00016687311464274948,0.004924567197365869,0.003096783283964143,0.0016318281993034462
36,0.0011518142683463917,0.0006897240447092087,0.01593863879508938,0.0035430219842335067,0.0021163730144713577
37,0.0011471628249671172,0.00035065171234445697,0.005969944860507137,0.002229703367227387,0.001290177539785922
38,0.0011453248771976928,0.0004043807027325808,0.0076007885502271865,0.002617461020284557,0.001510920861508569
39,0.0011916732584795848,0.0003504848623739555,0.00875235125780577,0.004256211367750698,0.0023033481150623266
40,0.0012484781082622604,0.00042637941869976063,0.007839981794206037,0.0020699799294189767,0.0012481796740593687
41,0.0012810304799448678,0.0003791276814222672,0.01052091125640739,0.002563792221233583,0.0014714599513279251
42,0.0013098558150685417,0.0004321547534113307,0.014300197849392834,0.0025315588669576642,0.0014818568101844975
43,0.0013190993342903148,0.0005495506868848246,0.012986923174639493,0.0032225184960262775,0.0018860345914555512
44,0.0012917043579662821,0.0004252922174813094,0.004581932965928601,0.0017014428497937571,0.0010633675336375332
45,0.0012222039086424307,0.0005249115313562064,0.007515022123294036,0.0025726425435885895,0.001548777037472398
46,0.0012320641310095161,0.0006581037251986185,0.013103312537847186,0.005204843392334593,0.002931473558766606
47,0.001125602802700436,0.00047309585567774945,0.009110205698661835,0.0020649344624785217,0.0012690151590781355
48,0.0011980751855245077,0.00021981804753798298,0.011698069960568071,0.003721857118214078,0.0019708375828760305
49,0.0012076753730264468,0.0007204808030759534,0.012272523367716944,0.0038503432287782823,0.002285412015927118
50,0.0012117486344964338,0.0005682781782827345,0.005943037514695294,0.003203763155331578,0.0018860206668071563
51,0.0012098501007444021,0.0009397517426053446,0.004774791925802884,0.001723598831184104,0.0013316752868947242
52,0.0011971193645358494,0.000644827568158174,0.007461996298585404,0.002159531255478897,0.0014021794118185354
53,0.0011828635467514435,0.0006985754058822837,0.005729626682477361,0.0019063836804546993,0.0013024795431684916
