iterations,error_feas_max,error_feas_mean,error_opt_max,error_opt_mean,error_total_max,error_total_mean
0,0.0010634315276590429,0.0007318595032753765,0.00752937417432262,0.0019662823123287256,0.004296400692343932,0.001349070907802051
1,0.0010381445793021442,0.0006987019336977663,0.004126027945976309,0.0015801652402719004,0.00250154575396272,0.0011394335869848332
2,0.001035520430518163,0.0006420032945627025,0.0031643958202252458,0.0014749266232093874,0.002012103781576652,0.001058464958886045
3,0.0010590192973051577,0.0007011321453894783,0.00597101239124316,0.0021322925281512676,0.0034102573862534297,0.001416712336770373
4,0.0010793839586211837,0.0007176916021477745,0.0062503495501016635,0.0019287268910315922,0.00338612732056526,0.0013232092465896832
5,0.0008259283743908832,0.0003307129226774608,0.005409941571173204,0.0016198561042406392,0.0029780171278117546,0.00097528451345905
6,0.0011043123070475465,0.000879709322672982,0.007487611198177238,0.0034569954767928136,0.004295959582251676,0.0021683523997328984
7,0.0011037268815426169,0.0005289938555842166,0.006945818707429112,0.0019273367391687782,0.0037665648389616753,0.0012281652973764972
8,0.0010935088005358741,0.0007131976515284672,0.0036045580100042864,0.001041333872728535,0.002292658429054481,0.0008772657621285009
9,0.0010752872969896669,0.0007836167883569526,0.004364668124129381,0.0010608306518955855,0.0025910933821635764,0.000922223720126269
10,0.001045034040905224,0.0005230796260563397,0.004503190641517489,0.0012388355516812469,0.0027741123412113565,0.0008809575888687934
11,0.0010326315961088762,0.0005681834696458943,0.004744565425060162,0.001190709508600254,0.0027550293809797503,0.0008794464891230742
12,0.0010033798096212782,0.0005792382078639085,0.006434498398882927,0.0018110104401736255,0.0035415825698534593,0.001195124324018767
13,0.0010638413527280658,0.0005584437425515768,0.006266595961872034,0.0010742044293600033,0.0034636707820094956,0.0008163240859557901
14,0.0011164842033989158,0.0005565679359940202,0.003233666133260712,0.0011340263371634504,0.002175075161359017,0.0008452971365787354
15,0.0011667206088341244,0.0008572605115471799,0.00485546288082868,0.001550443815233784,0.0029159229622237864,0.001203852163390482
16,0.0012040206241033576,0.0007740843797136277,0.003970264649058919,0.0011912975928845449,0.0025351460085772663,0.0009826909862990863
17,0.0012143149595870819,0.0008418803097945566,0.007641140599660649,0.0034961758412498413,0.004377674849595987,0.002169028075522199
18,0.0012392246797647188,0.0009249001268013641,0.005988799044263303,0.002342240445485194,0.0035738505211351957,0.0016335702861432794
19,0.0012680320289738959,0.0006811270160894873,0.0033985352064005107,0.0010316143153876584,0.0020550281100276645,0.0008563706657385728
20,0.0013070013858989657,0.0009547789996366878,0.005062873356961907,0.0013168310980665023,0.0029026357990515183,0.001135805048851595
21,0.0013569985852171043,0.0008931073258678479,0.00754384415313563,0.00410687381875563,0.004234819787128228,0.002499990572311739
22,0.0014149667088480032,0.000924258402175558,0.0036085812144338206,0.0015034218568926766,0.0019342141828217864,0.0012138401295341175
23,0.0014604482566924954,0.0008297730110733949,0.004495362178727335,0.0023148386468323464,0.0026396517341601144,0.0015723058289528705
24,0.001456518954506277,0.0007677148345911987,0.007980708991830749,0.0022003067353250625,0.004718613973168513,0.0014840107849581304
25,0.0015440981405261663,0.0012627053813827414,0.0083457329437747,0.0022199731616691504,0.004921895221834874,0.0017413392715259462
26,0.0015819580613870149,0.0012203283415764114,0.004561578224253574,0.0023049548237424238,0.0030717673444032585,0.0017626415826594178
27,0.0016172739649313891,0.001304379273320498,0.008405322771371147,0.003456270357380204,0.0049878766130422025,0.0023803248153503515
28,0.0016494581088329018,0.0010980062504366743,0.008075662284256095,0.002707712157312584,0.004846559703742731,0.0019028592038746292
29,0.0016781570697466852,0.0012694546239358838,0.008173202705540342,0.0031951804052712295,0.004454171279582694,0.002232317514603556
30,0.0017323542233965777,0.0012156077293107202,0.006978692500648946,0.0036049655499246817,0.003955311789542391,0.002410286639617701
31,0.0010238478174893664,0.0006659202905500525,0.007097784072784621,0.0022725282383962136,0.004060815945136994,0.001469224264473133
32,0.0008742678221806904,0.0005364893969139748,0.007658235133840786,0.0028522443391316445,0.004062708921374864,0.0016943668680228098
33,0.001018490454428,0.0007004747313377029,0.00759192024795343,0.0021052831618078296,0.004030503394613283,0.0014028789465727661
34,0.0010299138694839429,0.0006337260718065221,0.006168383233193744,0.0011473419830251349,0.0035991485513388434,0.0008905340274158286
35,0.0010539068093891456,0.0007326167687856805,0.005631401671478065,0.0013667819739243165,0.003342653504979725,0.0010496993713549985
36,0.0010692760082731143,0.0007580700383287263,0.007507764311789881,0.0025779820200897523,0.004013807532099724,0.0016680260292092394
37,0.0010834816192088156,0.000815596769886015,0.006224343027349119,0.0012072377597770003,0.0036539123232789674,0.0010114172648315076
38,0.001088841874076764,0.0006224436865783169,0.00532404292366173,0.001992426450135898,0.0032064401726085716,0.0013074350683571075
39,0.0010857988999395341,0.0007242509071799052,0.006043593157409708,0.0015665783685540173,0.0033944662343861854,0.0011454146378669613
40,0.0010709515869306947,0.0005276256346117723,0.006669900272591656,0.0013279789153065604,0.0036349138938441125,0.0009278022749591664
41,0.001038291397553277,0.0007010974709372847,0.0062787717560513585,0.0025660376333104954,0.003507162861215985,0.0016335675521238903
42,0.0010462669275376926,0.0007448672003991095,0.006646593857162163,0.0019451344928722639,0.0036331758671457235,0.001345000846635687
43,0.0010563486885345652,0.0006610477553000628,0.006947992806838268,0.0025115514218004204,0.0040021707476864165,0.0015862995885502415
44,0.0010932467619763579,0.000832166812664905,0.007559851958466474,0.001950232035491762,0.004310788209710772,0.0013911994240783335
45,0.001153721990752401,0.0007791184247529032,0.0026662447199497876,0.0005834177861367048,0.0018754602014038526,0.0006812681054448041
46,0.0011944954808866522,0.0005923781248322878,0.006666935198789737,0.0018748523403707275,0.003883041281506392,0.0012336152326015075
47,0.001213190413325114,0.0008821277367987393,0.00782767896610802,0.0013966402643877623,0.004473297312999392,0.001139384000593251
48,0.000927448523333235,0.0005049998998349497,0.0038520241788248047,0.001292042994719684,0.002389733873068903,0.000898521447277317
49,0.001279899108012133,0.0008683263757923362,0.006998784839705185,0.0025915888196135087,0.003961802480349757,0.0017299575977029226
50,0.0013090410682930534,0.001125624366245654,0.007843664825332764,0.002377790127790434,0.00454365042569315,0.0017517072470180442
51,0.0013398375258372088,0.0009064437840268537,0.008039246279104725,0.0017753223330632235,0.004365702352462542,0.0013408830585450386
52,0.0013837457664788756,0.0010631213753638864,0.008145939296270412,0.0027477005594571677,0.004748756916076518,0.001905410967410527
53,0.00143411972731426,0.0009580555880233344,0.007620584576814481,0.00291834688457579,0.004184493120748271,0.001938201236299562
54,0.001482279927532493,0.0009702131457308619,0.0034196323688578693,0.001066019707707087,0.002450956148195181,0.0010181164267189743
55,0.0015283742534654753,0.0008401710638827172,0.005154300830043924,0.001586794425193668,0.0029766841131775765,0.0012134827445381927
56,0.0015718565404120293,0.0009819150405409815,0.008322640080437234,0.004114171874346156,0.004927739541335683,0.002548043457443568
57,0.0016127661909007248,0.0010380379350470184,0.00781902701049658,0.0021467326953248456,0.004696428824796947,0.0015923853151859318
58,0.0016102130806919881,0.0008274653731536293,0.00507693852575402,0.0015101593658946302,0.003343575803223001,0.0011688123695241298
59,0.0016884703412215717,0.0008926444960263718,0.007698862808280318,0.0021519467366372044,0.004308485434360828,0.001522295616331788
60,0.0017060355933894255,0.0008719171492824161,0.008248587946907115,0.003115235967899492,0.004491212004373242,0.001993576558590954
61,0.0017705057163971418,0.0009493388753303139,0.004999732727434097,0.0014177121105157751,0.0033662661133141954,0.0011835254929230443
62,0.0009754962318121966,0.0005176262515495438,0.0038126635058661675,0.0014981802942474285,0.0021466198047851246,0.0010079032728984862
63,0.0009817915739643954,0.0006535820598402973,0.0018411042703814118,0.000602872941946687,0.0009559070389548444,0.0006282275008934921
64,0.000990700442804494,0.0006738819121102446,0.0016352871734003828,0.0004307180025835384,0.001198807789011043,0.0005522999573468913
65,0.0010037357601094736,0.0005442561200064485,0.0015147794689618918,0.0006401425018944208,0.0008200528998543065,0.0005921993109504346
66,0.0010187499757713559,0.0006191416700975967,0.00391004951067381,0.0011710751974571914,0.0023751207652483986,0.000895108433777394
67,0.0008647460430082047,0.0005259735198836418,0.006143153566161395,0.0016390283119388795,0.0035039498045848,0.0010825009159112606
68,0.0010516907522210425,0.0006961812297545455,0.0019118306711899903,0.0008800255025747329,0.0014817564192028112,0.0007881033661646393
69,0.0009102321239788497,0.0006162467371522568,0.004148312115447904,0.0014129967013130152,0.00234886749452454,0.001014621719232636
70,0.0010626939334906634,0.00045230689989423533,0.0040142039107657415,0.0016653292784858781,0.0022931058539130047,0.0010588180891900568
71,0.0010458044459630595,0.000576721017397023,0.004104483329283712,0.001560284100519501,0.002526103983993947,0.001068502558958262
72,0.0010352175349848645,0.0008313914772791425,0.0034889690617103874,0.0009127078623194287,0.0022620932409938657,0.0008720496697992854
73,0.0010441625371392042,0.0005805692481076877,0.0062320466888754955,0.0024267953746432967,0.003462146691220154,0.001503682311375492
74,0.0010494737088175938,0.0007123964849041656,0.005854611413228534,0.0009867222765483775,0.003413939140840875,0.0008495593807262716
75,0.0011235809668614163,0.001037394799469325,0.007651271400523283,0.002056686557463597,0.004357127892904761,0.001547040678466461
76,0.0011844495730481568,0.000729575116598556,0.005173011831807267,0.002385834306364426,0.0029169258591398286,0.0015577047114814914
77,0.0012157847605521644,0.000774569489012736,0.003577813692437767,0.0006587160386823038,0.0021013892318313583,0.0007166427638475199
78,0.0011255669111476835,0.0006437905657502959,0.003361411554984343,0.0010618960616660704,0.002243489233066013,0.0008528433137081832
79,0.0013002728329603594,0.0009099496400319102,0.006333134191074293,0.001212729907244335,0.0034898316646674176,0.0010613397736381224
80,0.0013370196512697457,0.0009238587458240174,0.006977534432725496,0.0021148217577042416,0.003958179330727793,0.0015193402517641296
81,0.0013594983283325567,0.000789125889582952,0.0041550907181488825,0.00230100137450479,0.002544808585217329,0.001545063632043871
82,0.0013780715328223616,0.0011380433135053745,0.00801385613443524,0.0026477401720687082,0.0046565725651367545,0.0018928917427870414
83,0.0014175781203977955,0.0011172211837413653,0.0034330679542392117,0.0010714899160861851,0.002176603876731154,0.0010943555499137753
84,0.0014725020239406725,0.0008869388619847105,0.005070254919830728,0.0017347342513208534,0.002889214211073312,0.0013108365566527817
85,0.00152526317060058,0.0009382076728775068,0.007012176243355359,0.0017010883981761157,0.003860723297819856,0.001319648035526811
86,0.0015763282446551348,0.0009553590899055167,0.0053714153855348645,0.0014417451412660444,0.003090073211618434,0.0011985521155857806
87,0.0016249994193568806,0.0010599946913724839,0.008258369468043479,0.00269523919553796,0.004580461358486706,0.0018776169434552216
88,0.001671333449022694,0.0011966751911545452,0.007442554012368811,0.003471121057786265,0.004505153518298498,0.002333898124470405
89,0.0017154128261586857,0.00141649254224584,0.00818686735859228,0.0030941648119043623,0.004542670725570337,0.002255328677075101
